,Municipios,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007 (5),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Algete,19630,29691,1686,0,0,0,0,434736,518446,528237,578743,753594,706980,653026,691863,720161,768304,839672,930595,925922,1113021,1071276,1115431,1099919,1074083,1221200,1052715,1057895,1029864,1075585,1133631,1111150,1136381,1085733,1117796,1126248,1132623
19,Alpedrete,823261,4613,939830,795875,927084,1422441,737580,743247,728470,762625,824446,816526,769949,856117,948699,1004431,1084238,1116639,1179268,1204719,1381264,1168844,1189646,1107869,1304263,1113881,1117093,1217348,1054071,1054716,1137508,1135042,1113600,1053706,1167026,1128640,1102347
20,Ambite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7331,30649,19839,74849,69349,65670,68753,61607,65110,71099,78708,73867,60969,64612,68433,67098
21,Anchuelo,0,0,0,0,33065,46186,37243,31358,29160,27095,34429,35232,706980,36808,38601,43811,40706,40720,44249,37819,60259,51265,53179,56049,59788,54469,56928,62578,56314,59802,60652,60772,60128,57999,63198,63723,62904
22,Aranjuez,0,0,2302086,2407652,2032349,2508832,2390046,2564566,2755650,2600028,2681627,2624935,2692186,2700961,2904080,2950313,3089440,3241862,3377723,3410756,4003057,3730782,3671566,3729210,4023534,3365234,3551077,3886492,3403607,3472136,3525810,3664614,3648212,3463096,3675005,3807628,3685070
23,Arganda del Rey,1522275,1314026,2277360,3336135,1504178,2519114,2439867,2566838,2363772,2339855,2274598,2338952,2295621,2339421,2504403,2651934,2682517,2808958,2911539,2976580,3432546,3100854,3200308,3592108,3080492,2959206,3463124,2975275,3008915,3021152,3311028,3262994,3414758,3272242,3385598,3460243,3375717
24,Arroyomolinos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103951,256239,542256,1022088,1215036,1513629,1470602,1513685,1902337,1752547,1811908,1920315,2058281,2078751,2175794,2089035,2387214,2366097,2361677
25,Atazar (El),0,0,0,0,0,0,14212,7730,4605,4575,7601,7448,3515,5087,11137,12356,24159,23844,28102,35135,31633,9150,8636,10410,8746,13410,11028,12974,9616,9250,11018,9091,9650,8217,7517,7035,7514
26,Batres,0,0,0,0,0,0,20986,39,19,288,2796,12924,24472,20642,32964,35890,41376,45066,57344,51670,64083,209175,54088,58827,57336,48506,48485,52965,45067,131157,192217,135819,140784,132845,144894,144733,149147
27,Becerril de la Sierra,279899,0,308953,227245,300326,400996,538740,380285,330328,658090,1014523,569816,667462,663714,730685,768067,858643,933154,915766,682525,1076041,749691,468188,598691,999795,794431,781030,812953,765611,874608,846462,885289,863727,815124,968143,913332,1014323
28,Belmonte de Tajo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39699,68070,69026,67606,76063,64110,66778,76102,66024,65862,73706,76319,68066,62477,70181,73638,76582,80499,86344,94641,99630
29,Berrueco (El),49448,49984,47565,76782,84001,93703,0,0,35759,37346,33276,38421,47790,38656,39540,40029,45052,49083,48338,48365,51074,54686,50671,51962,49119,45891,48394,44915,42930,44313,52755,54104,55889,51057,52262,55623,62105
30,Berzosa del Lozoya,3807,5314,6148,4265,9602,13077,1133,7413,6914,6823,8012,7645,7003,8739,9212,9689,9759,10213,11051,11705,13181,13267,13138,13931,15031,16387,15964,17647,14590,14362,16122,15300,14742,13037,15829,17524,18085
31,Boadilla del Monte,73990,33729,82493,49321,66155,93486,774595,423432,466921,489693,449049,627659,607512,755563,1155783,1661202,2010077,2013061,2608804,2235378,3878750,2833099,2964487,2788080,3583688,3017235,3077017,3629514,3034838,3071580,3356043,3415507,3576032,3405210,3960995,3996243,4690429
32,Boalo (El),546868,0,540288,541973,759928,775222,779411,582863,637249,608254,766268,668816,617284,607394,769035,485028,653587,647891,753198,694495,812077,759462,723857,760867,761090,687084,790236,756172,656782,657556,719984,709732,774039,685199,783140,790964,783849
33,Braojos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30383,58281,14893,16347,14837,14536,14875,14781,15608,16094,15636,14949,17219,18690,19916
34,Brea de Tajo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29108,35933,29578,31474,29062,34113,31604,43850,53001,57171,57650,52959,58492,50440,37470,47634,43476,50669,43897,46418,62022,62309
35,Brunete,0,0,0,0,0,0,289086,284755,270753,324769,326402,336019,328752,347299,387922,469667,515451,567331,657451,634827,750473,625023,666415,638979,709764,628908,715468,623437,588894,600470,615715,607890,646916,621550,673281,682815,668227
36,Buitrago del Lozoya,313953,191117,366630,151168,184338,197470,201666,199900,189690,206888,204126,212878,205921,202006,201259,211161,211290,172888,119349,46837,59190,43452,47783,46081,150185,156213,186706,152925,146274,145797,155855,164241,164316,162963,185033,175059,162435
37,Bustarviejo,0,0,0,0,1904,0,0,0,0,0,0,0,0,0,0,0,105697,129037,138981,131284,148394,131972,135178,143969,142934,147974,165207,152722,139942,151561,156559,167613,171952,177715,177045,194610,195170
38,Cabanillas de la Sierra,33680,57430,57656,18167,23329,30289,47500,78593,75868,91814,91957,103273,85397,86254,87164,86653,90531,92505,99071,91961,114541,89289,93540,100595,99504,87077,98533,99122,98685,89628,92669,91996,96844,86116,99008,106468,95501
39,Cabrera (La),68404,0,86177,84641,114710,130746,150065,150125,152173,153409,168226,160832,173714,160560,177416,194300,193883,198302,221986,215980,218849,206158,206187,215831,189124,181546,195536,173875,156952,155977,164694,163381,173319,167583,199174,192807,194309
