,Distribución,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2016,2018,2020
0,Volumen total de agua registrada y distribuida,425512.0,443767.0,457184.0,462309.0,482722.0,495170.0,487808.0,522697.0,510612.0,489181.0,450694.0,465111,460768,450493,440375,446421,429556,414258,406951,418022,421750,436216
1,     Sectores económicos,84461.0,87116.0,86122.0,85676.0,87196.0,95937.0,94818.0,109541.0,124020.0,119732.0,90545.0,87494,83971,80484,82585,88826,85034,78846,73898,77304,67964,63615
2,     Hogares,276553.0,296526.0,314529.0,323027.0,334798.0,338263.0,334134.0,346018.0,362438.0,345347.0,325035.0,331174,324291,333616,322800,327883,315483,304968,304840,312768,301111,317737
3,     Consumos municipales (1),64498.0,60125.0,56533.0,53524.0,60517.0,60642.0,58676.0,67138.0,23548.0,23102.0,34742.0,46443,52506,36393,34990,29712,29039,30444,28213,27950,52675,54864
4,     Otros consumos,0.0,0.0,0.0,82.0,211.0,328.0,180.0,0.0,606.0,1000.0,372.0,0,0,0,0,0,0,0,0,0,0,0
5, Agua perdida en la red de distribución,62477.0,66600.0,69119.0,78449.0,76165.0,79092.0,74981.0,85692.0,31441.0,73099.0,63155.0,0,0,0,0,0,0,0,0,0,0,0
6,Importe facturado por el agua suministrada (miles de euros),224447.97,235428.46,250357.6,264283.05,282680.0,283335.0,298201.0,341540.0,353148.0,369212.0,378298.0,380957,464376,481402,459560,471687,525474,528363,531721,553132,523861,542393
7,de suministro (miles de euros),53249.67,52444.32,55936.2,54944.53,42840.0,47342.0,65246.0,34840.0,30613.0,30609.0,39955.0,100760,99579,56597,45245,45130,43288,37741,39448,80711,44759,80532
