,Volumen de aguas residuales,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2016,2018,2020
0,   Recogidas,0,0,0,1107073,1131756,1146841,1152174,1217240,3685699,2367712,2295755,1485258,0,0,0,0,0,0,0,0,0,0
1,   Tratadas,942987,992473,1021264,1064377,1129075,1145424,1107471,1133616,3682051,2345309,2213367,1432331,1515336,1428676,1549957,1656841,1570983,1687026,1681915,1500326,1487112,1401292
2,   Vertidas,934297,976823,1013827,1061941,1120458,1139442,1144970,1213101,3602769,2193359,0,0,0,0,0,0,0,0,0,0,0,0
3,   Reutilizadas,8690,15650,7437,2437,7887,4486,7204,4139,82830,173785,41696,17352,16945,17051,18677,24874,31160,29175,39865,34178,34832,36320
4,Inversión en recogida y tratamiento (miles de euros),59200,59837,62421,64735,36109,27870,142785,184171,62406,55298,54076,58106,44061,54142,67254,72652,0,0,0,0,0,0
5,Cuotas de saneamiento y depuración (miles de euros),48706,52829,50329,52246,54241,94435,95874,109766,158221,165388,192405,215085,257560,270007,266204,283401,293606,306426,311654,312980,291575,294720
6,Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122881,98297,116992,115375,103141,109253,100111
